amostra;site;latitude;longitude;data;especies;sepal_length_;sepl_width;petal_length_;petal_width
A100;site3;48.329837;-65.512333;01/12/1929;iris_versicolor;5.7;2.8;4.1;1.3
A119;ste2;48.540502;-64.766512;13/02/1930;iris_virginica;7.7;2.6;6.9;2.3
A127;site3;49.329837;-65.512333;01/12/1929;iris_virginica;6.2;2.8;4.8;1.8
A129;site1;48.935966;-64840984;01/12/1929;iris_virginica;6.4;2.8;5.6;2.1
A149;site2;48.540502;-64.766512;13/02/1930;iris_virginica;6.2;3.4;5.4;2.3
A15;site1;48.935966;-64.840984;01/12/1929;iris_setosa;5.8;4;1.2;0.2
A25;site3;48.329837;-65.512333;01/12/1929;iris_setosa;4.8;3.4;1.9;0.2
A26;site2;48.540502;-64.766512;13/02/1930;iris_setosa;5;3;1.6;0.2
A3;site1;48.935966;-64.840984;01/12/1929;iris_setosa;4.7;3.2;1.3;0.2
A32;site2;48.540502;-64.766512;13/02/1930;iris_setosa;5.4;3.4;1.5;0.4
A41;site2;48.540502;-64.766512;13/02/1930;iris_setosa;5;3.5;1.3;0.3
A47;site2;48.540502;-64.766512;13/02/1930;iris_setosa;5.1;3.8;1.6;0.2
A54;site1;48.935966;-64.840984;01/12/1929;iris_versicolor;5.5;2.3;4;1.3
A58;site3;48.329837;-65.512333;01/12/1929;iris_versicolor;4.9;2.4;3.3;1
A62;site2;48.540502;-64.766512;13/02/1930;iris_versicolor;5.9;3;4.2;1.5
A70;site3;48.329837;-65.512333;01/12/1929;iris_versicolor;5.6;2.5;3.9;1.1
A71;site2;48.540502;-64.766512;13/02/1930;iris_versicolor;5.9;3.2;4.8;1.8
A76;site3;48.329837;-65.512333;01/12/1929;iris_versicolor;6.6;3;4.4;1.4
A79;site3;49.329837;-65.512333;01/12/1929;iris_versicolor;6;2.9;4.5;1.5
A81;site1;48.935966;-64.840984;01/12/1929;iris_versicolor;5.5;2.4;3.8;1.1
A82;site3;48.329837;-65.512333;01/12/1929;iris_versicolor;5.5;2.4;3.7;1
A87;site1;48.935966;-64.840984;01/12/1929;iris_versicolor;6.7;3.1;4.7;1.5
A88;site3;48.329837;-65.512333;01/12/1929;iris_versicolor;6.3;2.3;4.4;1.3
A93;site1;48.935966;-64.840984;01/12/1929;iris_versicolor;5.8;2.6;4;1.2
A95;site2;48.540502;-64.788512;13/02/1930;iris_versicolor;5.6;2.7;4.2;1.3
