AMOSTRA;SITE;LATITUDE;LONGITUDE;DATA;ESP;SEP_L;SEP_W;PET_L;PET_W
A75;Site1;48.935966;-64.840984;1929_12_01;IRIS_VERSICOLOR;6.4;2.9;4.3;1.3
A96;Site1;48.935966;-64.840984;1929_12_01;IRIS_VERSICOLOR;5.7;3;4.2;1.2
A91;Site3;48.329837;-65.512333;1929_12_01;IRIS_VERSICOLOR;5.5;2.6;4.4;1.2
A42;Site1;48.935966;-64.840984;1929_12_01;IRIS_SETOSA;4.5;2.3;1.3;0.3
A105;Site1;48.935966;-64.840984;1929_12_01;IRIS_VIRGINICA;6.5;3;5.8;2.2
A113;Site2;48.540502;-64.766512;1930_02_13;IRIS_VIRGINICA;6.8;3;5.5;2.1
A66;Site1;48.935966;-64.840984;1929_12_01;IRIS_VERSICOLOR;6.7;3.1;4.4;1.4
A147;Site1;48.935966;-64.840984;1929_12_01;IRIS_VIRGINICA;6.3;2.5;5;1.9
A57;Site1;48.935966;-64.840984;1929_12_01;IRIS_VERSICOLOR;6.3;3.3;4.7;1.6
A30;Site1;48.935966;-64.840984;1929_12_01;IRIS_SETOSA;4.7;3.2;1.6;0.2
A55;Site3;48.329837;-65.512333;1929_12_01;IRIS_VERSICOLOR;6.5;2.8;4.6;1.5
A74;Site2;48.540502;-64.766512;1930_02_13;IRIS_VERSICOLOR;6.1;2.8;4.7;1.2
A104;Site2;48.540502;-64.766512;1930_02_13;IRIS_VIRGINICA;6.3;2.9;5.6;1.8
A123;Site2;48.935966;-64.840984;1929_12_01;IRIS_VIRGINICA;7.7;2.8;6.7;2
A132;Site1;48.935966;-64.840984;1929_12_01;IRIS_VIRGINICA;7.9;3.8;6.4;2
A130;Site3;48.329837;-65.512333;1929_12_01;IRIS_VIRGINICA;7.2;3;5.8;1.6
A128;Site2;48.540502;-64.766512;1930_02_13;IRIS_VIRGINICA;6.1;3;4.9;1.8
A133;Site3;48.329837;-65.512333;1929_12_01;IRIS_VIRGINICA;6.4;2.8;5.6;2.2
A39;Site1;48.935966;-64.840984;1929_12_01;IRIS_SETOSA;4.4;3;1.3;0.2
A36;Site1;48.935966;-64.840984;1929_12_01;IRIS_SETOSA;5;3.2;1.2;0.2
A64;Site3;48.329837;-65.512333;1929_12_01;IRIS_VERSICOLOR;6.1;2.9;4.7;1.4
A69;Site1;48.935966;-64.840984;1929_12_01;IRIS_VERSICOLOR;6.2;2.2;4.5;1.5
A112;Site3;48.329837;-65.512333;1929_12_01;IRIS_VIRGINICA;6.4;2.7;5.3;1.9
A86;Site2;48.540502;-64.766512;1930_02_13;IRIS_VERSICOLOR;6;3.4;4.5;1.6
A49;Site3;48.329837;-65.512333;1929_12_01;IRIS_SETOSA;5.3;3.7;1.5;0.2
